processes threads density schedule count
1 1 0.2 static 55
1 1 0.4 static 55
1 1 0.6 static 61
1 1 0.8 static 55
1 8 0.6 dynamic 50
1 8 0.6 static 64
4 8 0.6 dynamic 50
4 8 0.6 static 69
8 8 0.6 dynamic 50
8 8 0.6 static 65
16 1 0.6 dynamic 50
16 1 0.6 static 45
16 2 0.6 dynamic 49
16 2 0.6 static 45
16 4 0.6 dynamic 49
16 4 0.6 static 50
16 6 0.6 dynamic 50
16 6 0.6 static 45
16 8 0.2 dynamic 46
16 8 0.2 static 46
16 8 0.4 dynamic 50
16 8 0.4 static 45
16 8 0.6 dynamic 50
16 8 0.6 static 50
16 8 0.8 dynamic 50
16 8 0.8 static 45
16 12 0.6 dynamic 50
16 12 0.6 static 45
16 16 0.6 dynamic 50
16 16 0.6 static 50
32 8 0.6 dynamic 50
32 8 0.6 static 64
64 8 0.6 dynamic 50
64 8 0.6 static 70
